41
 
0	0	0.00	   
0.002223	-0.00669	0.00	   
0.007479	-0.01283	0.00	   
0.015723	-0.0184	0.00	   
0.026892	-0.02341	0.00	   
0.040906	-0.02783	0.00	   
0.057669	-0.03165	0.00	   
0.077071	-0.03488	0.00	   
0.098987	-0.03751	0.00	   
0.123281	-0.03955	0.00	   
0.149805	-0.04101	0.00	   
0.178401	-0.04193	0.00	   
0.208902	-0.04235	0.00	   
0.241131	-0.04229	0.00	   
0.274904	-0.04183	0.00	   
0.310028	-0.04103	0.00	   
0.346303	-0.03994	0.00	   
0.383522	-0.03864	0.00	   
0.421644	-0.03717	0.00	   
0.460397	-0.03544	0.00	   
0.499412	-0.03349	0.00	   
0.538451	-0.03137	0.00	   
0.577279	-0.02914	0.00	   
0.615658	-0.02683	0.00	   
0.653352	-0.0245	0.00	   
0.690129	-0.02217	0.00	   
0.725762	-0.01988	0.00	   
0.760029	-0.01765	0.00	   
0.792716	-0.0155	0.00	   
0.823619	-0.01345	0.00	   
0.852541	-0.01151	0.00	   
0.879302	-0.0097	0.00	   
0.90373	-0.00803	0.00	   
0.925669	-0.00652	0.00	   
0.944979	-0.00517	0.00	   
0.961536	-0.00401	0.00	   
0.975232	-0.00304	0.00	   
0.985978	-0.00227	0.00	   
0.993705	-0.00171	0.00	   
0.998361	-0.00137	0.00	   
0.999916	-0.00126	0.00	 
